ProductNetwork,ProductPromoCode,ProductDescription,ProductPrice,ProductValidity
CIGNAL,CIGNALSD450,59 SD Channels,450,1 month
CIGNAL,CIGNAL450,"5 HD Channels, 59 SD Channels",450,1 month
CIGNAL,CIGNAL500,"9 HD Channels, 62 SD Channels",500,1 month
CIGNAL,CIGNAL600,"15 HD Channels, 67 SD Channels",600,1 month
CIGNAL,CIGNAL800,"18 HD Channels, 73 SD Channels",800,1 month
CIGNAL,CIGNAL1000,"21 HD Channels, 80 SD Channels",1000,1 month
DITO,DITO15,15 e-Load,15,1 year
DITO,DITO20,20 e-Load,20,1 year
DITO,DITO30,30 e-Load,30,1 year
DITO,DITO50,50 e-Load,50,1 year
DITO,DSCMDITOLU99,7GB High Speed Data + Unlimited DITO to DITO voice and video calls + 300 mins of calls to other mobile networks + Unlimited Text to all Networks,99,30 Days
DITO,DITO100,100 e-Load,100,1 year
DITO,DSCMDITOLU199,16GB High Speed Data + Unlimited DITO to DITO voice and video calls + 300 mins of calls to other mobile networks + Unlimited Text to all Networks,199,30 Days
DITO,DITO200,200 e-Load,200,1 year
DITO,DSCMDITOLU299,28GB High Speed Data + Unlimited DITO to DITO voice and video calls + 300 mins of calls to other mobile networks + Unlimited Text to all Networks,299,30 Days
DITO,DITO300,300 e-Load,300,1 year
DITO,DSCMDITOLU499,55GB High Speed Data + Unlimited DITO to DITO voice and video calls + 300 mins of calls to other mobile networks + Unlimited Text to all Networks,499,30 Days
DITO,DITO500,500 e-Load,500,1 year
DITO,DSCMDITOLU999,120GB High Speed Data + Unlimited DITO to DITO voice and video calls + 300 mins of calls to other mobile networks + Unlimited Text to all Networks,999,30 Days
DITO,DITO1000,1000 e-Load,1000,1 year
GLOBE,GMX10,10 regular load,10,365 Days
GLOBE,GOSURFMB10,Consumable 40MB mobile internet + FREE 200MB of music streaming via Spotify,10,1 Day
GLOBE,GOCALL10,Unli Call to All Network Valid For 1day ( For Globe Prepaid Subs. Only-Must be registered first to Go Promos. ),10,1 Day
GLOBE,GOKOREAN10,"1GB  Data for Vlive,Viu, YouTube, NetFlix, WeTV and Viki Valid for 1day ( for Globe Prepaid Subs. Only-Must be registered first to Go Promos. )",10,1 Day
